audio_id,audio_path,pipeline,reference_transcript,asr_transcript,expected_form_type,predicted_form_type,form_type_correct,expected_amount,predicted_amount,amount_correct,expected_currency,predicted_currency,currency_correct,expected_description,predicted_description,description_correct,description_match_method,description_overlap,field_accuracy,joint_system_accuracy,asr_latency_seconds,llm_latency_seconds,latency_seconds,error
4,D:\I5 internship\Prototype\data\test_audio\4.wav,whisper-small,ខ្ញុំសូម claim expense ចំនួន មួយរយដុល្លារ សម្រាប់ថ្លៃសាំង និង parking ពេលទៅ support server នៅ customer site,ខ្ញុំសុំ claim expense ចំនួន 200 dollars សម្រាប់ និងែវក្រាប់ support service និងៃនេះ,Expense Claim Form,Expense Claim Form,1,,200,0,USD,dollars,1,ខ្ញុំសូម claim expense ចំនួន មួយរយដុល្លារ សម្រាប់ថ្លៃសាំង និង parking ពេលទៅ support server នៅ customer site,support service,0,manual_review,0.07142857142857142,0.5,0,5.982104499998968,2.760783200035803,8.742887700034771,
4,D:\I5 internship\Prototype\data\test_audio\4.wav,whisper-medium,ខ្ញុំសូម claim expense ចំនួន មួយរយដុល្លារ សម្រាប់ថ្លៃសាំង និង parking ពេលទៅ support server នៅ customer site,ខ្ញុំសុំ expense ចំនួន 100 dollars សម្រាប់ parking នៅត support server នៅជា្ត្ត្ត្ត្ត្អែក,Expense Claim Form,Expense Claim Form,1,,100,0,USD,dollars,1,ខ្ញុំសូម claim expense ចំនួន មួយរយដុល្លារ សម្រាប់ថ្លៃសាំង និង parking ពេលទៅ support server នៅ customer site,parking,0,manual_review,0.07142857142857142,0.5,0,15.154994999989867,2.8802282999968156,18.035223299986683,
5,D:\I5 internship\Prototype\data\test_audio\5.wav,wav2vec2,ខ្ញុំចង់ claim reimbursement ចំនួន បីរយដុល្លារ សម្រាប់ថ្លៃស្នាក់នៅ ពេលទៅ support project នៅខេត្ត,ខ្ញុំចង់ klaim regg mkusvent ចំងនួន but 0 dollារ សម្រាប់ flig់ស្អរាប់ នៅ b0l ទៅ spot pouចe នៅ ខែក,Expense Claim Form,Expense Claim Form,1,,0,0,USD,dollar,1,ខ្ញុំចង់ claim reimbursement ចំនួន បីរយដុល្លារ សម្រាប់ថ្លៃស្នាក់នៅ ពេលទៅ support project នៅខេត្ត,The employee wants to claim reimbursement for a flight to Bol to Spot Pouche but has not provided an amount or date.,0,manual_review,0.2,0.5,0,0.8148634000099264,2.4040828000288457,3.218946200038772,
5,D:\I5 internship\Prototype\data\test_audio\5.wav,whisper-small,ខ្ញុំចង់ claim reimbursement ចំនួន បីរយដុល្លារ សម្រាប់ថ្លៃស្នាក់នៅ ពេលទៅ support project នៅខេត្ត,ខ្ញុំចង់ claim ការបញុំណើរានឯ សម្រាប់ និង transport request,Expense Claim Form,Expense Claim Form,1,,,1,USD,,0,ខ្ញុំចង់ claim reimbursement ចំនួន បីរយដុល្លារ សម្រាប់ថ្លៃស្នាក់នៅ ពេលទៅ support project នៅខេត្ត,The employee wants to claim expenses and transport costs.,0,manual_review,0.1,0.5,0,4.1659473000327125,1.5552128999843262,5.721160200017039,
5,D:\I5 internship\Prototype\data\test_audio\5.wav,whisper-medium,ខ្ញុំចង់ claim reimbursement ចំនួន បីរយដុល្លារ សម្រាប់ថ្លៃស្នាក់នៅ ពេលទៅ support project នៅខេត្ត,ខ្ញុំចង់ claim the investment ចំនួន 300 dollars សម្រាប់ និង data support project នៅ្រោយ,Expense Claim Form,Expense Claim Form,1,,300,0,USD,dollars,1,ខ្ញុំចង់ claim reimbursement ចំនួន បីរយដុល្លារ សម្រាប់ថ្លៃស្នាក់នៅ ពេលទៅ support project នៅខេត្ត,investment,0,manual_review,0.0,0.5,0,12.59504589997232,2.3098563000094146,14.904902199981734,
6,D:\I5 internship\Prototype\data\test_audio\6.wav,wav2vec2,ជួយ process expense claim ចំនួន មួយពាន់ដុល្លារ សម្រាប់ទិញ SSD បន្ទាន់ ដើម្បីជំនួសក្នុង customer server,ជួយ ppro sis ipine clin ចំនួន 1pen0t dollars សម្រាប់ ting exxdeig ដ្pន ើmប0ចំនួន hនoង កាtonals sivill e,Expense Claim Form,Expense Claim Form,1,,100,0,USD,dollars,1,ជួយ process expense claim ចំនួន មួយពាន់ដុល្លារ សម្រាប់ទិញ SSD បន្ទាន់ ដើម្បីជំនួសក្នុង customer server,training expense and civil materials,0,manual_review,0.08333333333333333,0.5,0,1.0357655999832787,2.2152508999570273,3.251016499940306,
6,D:\I5 internship\Prototype\data\test_audio\6.wav,whisper-small,ជួយ process expense claim ចំនួន មួយពាន់ដុល្លារ សម្រាប់ទិញ SSD បន្ទាន់ ដើម្បីជំនួសក្នុង customer server,ចង់ process expense claim ចុំនួន សម្រាប់ SSD និង់ សប្រាប់ customer service,Expense Claim Form,Expense Claim Form,1,,,1,USD,,0,ជួយ process expense claim ចំនួន មួយពាន់ដុល្លារ សម្រាប់ទិញ SSD បន្ទាន់ ដើម្បីជំនួសក្នុង customer server,Request to process an expense claim related to SSD and customer service.,0,manual_review,0.4166666666666667,0.5,0,4.192964199988637,1.9472386999987066,6.140202899987344,
6,D:\I5 internship\Prototype\data\test_audio\6.wav,whisper-medium,ជួយ process expense claim ចំនួន មួយពាន់ដុល្លារ សម្រាប់ទិញ SSD បន្ទាន់ ដើម្បីជំនួសក្នុង customer server,"ខ្ញុំពេញ expense claim ចំនួន 1,000 dollars សម្រាប់ SSD ដាប់ ដាប់ customer service",Expense Claim Form,Expense Claim Form,1,,1000,0,USD,dollars,1,ជួយ process expense claim ចំនួន មួយពាន់ដុល្លារ សម្រាប់ទិញ SSD បន្ទាន់ ដើម្បីជំនួសក្នុង customer server,SSD for customer service,0,manual_review,0.16666666666666666,0.5,0,11.616366899979766,2.6036933999857865,14.220060299965553,
7,D:\I5 internship\Prototype\data\test_audio\7.wav,wav2vec2,ខ្ញុំចង់ request project expense ចំនួន ប្រាំរយដុល្លារ សម្រាប់ទិញ switch និងខ្សែ network ក្នុង project customer,ខ្ញុំចង់ request tratet expense ចំនួន 500 dollar សម្រាប់ teng svit និង fi nevere pនុង 50otxcastomers,Project Expense Form,Traveling Request Form,0,,500,0,USD,dollar,1,ខ្ញុំចង់ request project expense ចំនួន ប្រាំរយដុល្លារ សម្រាប់ទិញ switch និងខ្សែ network ក្នុង project customer,overnight stay and dinner with customers,0,manual_review,0.0,0.25,0,1.1661669999593869,2.431224600004498,3.597391599963885,
7,D:\I5 internship\Prototype\data\test_audio\7.wav,whisper-small,ខ្ញុំចង់ request project expense ចំនួន ប្រាំរយដុល្លារ សម្រាប់ទិញ switch និងខ្សែ network ក្នុង project customer,ខ្ញុំចង់ request project expense ចំនួន 500 dollars សម្រាប់ សប្តាហ៍ក្រាប់ project customer,Project Expense Form,Project Expense Form,1,,500,0,USD,dollars,1,ខ្ញុំចង់ request project expense ចំនួន ប្រាំរយដុល្លារ សម្រាប់ទិញ switch និងខ្សែ network ក្នុង project customer,customer project,0,manual_review,0.16666666666666666,0.5,0,4.457472399983089,1.8955295999767259,6.353001999959815,
7,D:\I5 internship\Prototype\data\test_audio\7.wav,whisper-medium,ខ្ញុំចង់ request project expense ចំនួន ប្រាំរយដុល្លារ សម្រាប់ទិញ switch និងខ្សែ network ក្នុង project customer,ខ្ញុំចង់ request project expense ចំនួន 500 dollars សម្រាប់ switch នៅង sign network នៅង project customer,Project Expense Form,Project Expense Form,1,,500,0,USD,dollars,1,ខ្ញុំចង់ request project expense ចំនួន ប្រាំរយដុល្លារ សម្រាប់ទិញ switch និងខ្សែ network ក្នុង project customer,switch in the sign network,0,manual_review,0.16666666666666666,0.5,0,11.153343999991193,3.164674300001934,14.318018299993128,
8,D:\I5 internship\Prototype\data\test_audio\8.wav,wav2vec2,ខ្ញុំសូម submit project expense ចំនួន មួយពាន់ប្រាំរយដុល្លារ សម្រាប់រៀបចំ firewall នៅ customer branch,ខ្ញុំសុំ សិ0 met prot expense ចំនួន e porn t0dollarng សម្រាប់ reapចង់ fivevel នៅ custmet prain e,Project Expense Form,Project Expense Form,1,,800,0,USD,dollar,1,ខ្ញុំសូម submit project expense ចំនួន មួយពាន់ប្រាំរយដុល្លារ សម្រាប់រៀបចំ firewall នៅ customer branch,travel,0,manual_review,0.0,0.5,0,0.8761989999911748,1.8607137000071816,2.7369126999983564,
8,D:\I5 internship\Prototype\data\test_audio\8.wav,whisper-small,ខ្ញុំសូម submit project expense ចំនួន មួយពាន់ប្រាំរយដុល្លារ សម្រាប់រៀបចំ firewall នៅ customer branch,ខ្ញុំសុំសុំ project expense ចំនួន 500 dollars សម្រាប់ 501 customer brand,Project Expense Form,Project Expense Form,1,,500,0,USD,dollars,1,ខ្ញុំសូម submit project expense ចំនួន មួយពាន់ប្រាំរយដុល្លារ សម្រាប់រៀបចំ firewall នៅ customer branch,customer brand 501,0,manual_review,0.09090909090909091,0.5,0,3.583290099981241,1.584083300025668,5.167373400006909,
8,D:\I5 internship\Prototype\data\test_audio\8.wav,whisper-medium,ខ្ញុំសូម submit project expense ចំនួន មួយពាន់ប្រាំរយដុល្លារ សម្រាប់រៀបចំ firewall នៅ customer branch,ខ្ញុំសុំ submit project expense ចំនួន និង្រាប់ 500 dollars សម្រាប់ rip jump 5 ball នៅង customer brand,Project Expense Form,Project Expense Form,1,,500,0,USD,dollars,1,ខ្ញុំសូម submit project expense ចំនួន មួយពាន់ប្រាំរយដុល្លារ សម្រាប់រៀបចំ firewall នៅ customer branch,rip jump 5 ball,0,manual_review,0.0,0.5,0,12.397871099994518,2.705355799989775,15.103226899984293,
9,D:\I5 internship\Prototype\data\test_audio\9.wav,wav2vec2,ខ្ញុំចង់ request project expense ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ backup storage ឱ្យ customer disaster recovery project,ខ្ញុំចង់ requiest ort tit expense ចាំនួន 20 pant dollarng សម្រាប់ peng bagcាប់o re d0 a់m0 resustៅ ecave reap pautink,Project Expense Form,Expense Claim Form,0,,20,0,USD,dollar,1,ខ្ញុំចង់ request project expense ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ backup storage ឱ្យ customer disaster recovery project,peng bagcាប់ result,0,manual_review,0.0,0.25,0,0.852905300038401,2.4835767000331543,3.3364820000715554,
9,D:\I5 internship\Prototype\data\test_audio\9.wav,whisper-small,ខ្ញុំចង់ request project expense ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ backup storage ឱ្យ customer disaster recovery project,ខ្ញុំចង់ request project expense និង់ សប្តាហ៍ការ សប្តាហ៍ក្រាប់ customer disaster recovery project,Project Expense Form,Project Expense Form,1,,,1,USD,,0,ខ្ញុំចង់ request project expense ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ backup storage ឱ្យ customer disaster recovery project,Customer disaster recovery project,0,manual_review,0.3076923076923077,0.5,0,4.572250800032634,1.7724012000253424,6.344652000057977,
9,D:\I5 internship\Prototype\data\test_audio\9.wav,whisper-medium,ខ្ញុំចង់ request project expense ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ backup storage ឱ្យ customer disaster recovery project,ខ្ញុំចង់ request project expense ដារធ្វើដំណើរ សម្រាប់ backup storage ដែល customers disaster recovery project,Project Expense Form,Project Expense Form,1,,,1,USD,,0,ខ្ញុំចង់ request project expense ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ backup storage ឱ្យ customer disaster recovery project,Backup storage for customer's disaster recovery project,0,manual_review,0.38461538461538464,0.5,0,11.737384200037923,2.8923743999912404,14.629758600029163,
10,D:\I5 internship\Prototype\data\test_audio\10.wav,wav2vec2,ជួយ run project expense ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ cloud migration package ឱ្យ finance customer,tំនin rutan់ pរូវចeក់ expense ចំនួន aapolរ សម្រាt pat mួយ preang sen cat kean 0 pe0 1e ausommere,Project Expense Form,Expense Claim Form,0,,,1,USD,,0,ជួយ run project expense ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ cloud migration package ឱ្យ finance customer,An expense claim form with unclear details about the amount and reason.,0,manual_review,0.07692307692307693,0.25,0,1.3904546999838203,1.8580113000352867,3.248466000019107,
10,D:\I5 internship\Prototype\data\test_audio\10.wav,whisper-small,ជួយ run project expense ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ cloud migration package ឱ្យ finance customer,ចង់ ការអនុម័តកសារ សម្រាប់ 50 dollars សប្រាប់ migration party និង finance customer,Project Expense Form,Cash Advance Form,0,,50,0,USD,dollars,1,ជួយ run project expense ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ cloud migration package ឱ្យ finance customer,migration party and finance customer,0,manual_review,0.23076923076923078,0.25,0,4.218828000011854,1.7623896999866702,5.981217699998524,
10,D:\I5 internship\Prototype\data\test_audio\10.wav,whisper-medium,ជួយ run project expense ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ cloud migration package ឱ្យ finance customer,ខ្ញុំពេញ project expense ចំនួន 15 dollars ដែរ្រាប់ migration tactic នៅតាក់ស្វាក្រ,Project Expense Form,Project Expense Form,1,,15,0,USD,dollars,1,ជួយ run project expense ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ cloud migration package ឱ្យ finance customer,migration tactic,0,manual_review,0.07692307692307693,0.5,0,12.435707599972375,2.8491196999675594,15.284827299939934,
11,D:\I5 internship\Prototype\data\test_audio\11.wav,wav2vec2,ខ្ញុំចង់ request project expense ចំនួន មួយម៉ឺនដុល្លារ សម្រាប់ទិញ enterprise server និង firewall ឱ្យ customer data center,ខ្្ញុំចង់ requiest proutit expense ចំនួន 1ment dollars សម្រាប់ teng edntp0i0vel mិង fivel a0 cash pៅ mal dd ca sine tir,Project Expense Form,Project Expense Form,1,,,1,USD,,0,ខ្ញុំចង់ request project expense ចំនួន មួយម៉ឺនដុល្លារ សម្រាប់ទិញ enterprise server និង firewall ឱ្យ customer data center,Requesting project expense for an event travel.,0,manual_review,0.13333333333333333,0.5,0,1.1704560000216588,1.8952719999942929,3.0657280000159517,
11,D:\I5 internship\Prototype\data\test_audio\11.wav,whisper-small,ខ្ញុំចង់ request project expense ចំនួន មួយម៉ឺនដុល្លារ សម្រាប់ទិញ enterprise server និង firewall ឱ្យ customer data center,ខ្ញុំចង់ request project expense ចំនួន សម្រាប់ enterprise server និងៃនេះ customer deposit,Project Expense Form,Project Expense Form,1,,,1,USD,,0,ខ្ញុំចង់ request project expense ចំនួន មួយម៉ឺនដុល្លារ សម្រាប់ទិញ enterprise server និង firewall ឱ្យ customer data center,Requesting a project expense for enterprise server and customer deposit.,0,manual_review,0.3333333333333333,0.5,0,3.9700396000407636,1.5694743000203744,5.539513900061138,
11,D:\I5 internship\Prototype\data\test_audio\11.wav,whisper-medium,ខ្ញុំចង់ request project expense ចំនួន មួយម៉ឺនដុល្លារ សម្រាប់ទិញ enterprise server និង firewall ឱ្យ customer data center,ខ្ញុំចង់ request project expense ចំនួន 100 dollars សម្រាប់ enterprise server នៅប្បាហ៍ក្រ នៅង customer data center,Project Expense Form,Project Expense Form,1,,100,0,USD,dollars,1,ខ្ញុំចង់ request project expense ចំនួន មួយម៉ឺនដុល្លារ សម្រាប់ទិញ enterprise server និង firewall ឱ្យ customer data center,Requesting a project expense of 100 dollars for an enterprise server at Baborkor in the customer data center.,0,manual_review,0.4,0.5,0,13.096640200004913,2.9259917000308633,16.022631900035776,
12,D:\I5 internship\Prototype\data\test_audio\12.wav,wav2vec2,ខ្ញុំចង់ request material ចំនួន សាមសិបដុល្លារ សម្រាប់ទិញ headset ឱ្យ support engineer ថ្មី,សើងខ្ញុំចង់ request met perell ចំនួន sm 0 dollar សម្រាប់ ting haet e0 spot euntinea ថ្ម0,Material Request Form,,0,,0,0,USD,dollar,1,ខ្ញុំចង់ request material ចំនួន សាមសិបដុល្លារ សម្រាប់ទិញ headset ឱ្យ support engineer ថ្មី,entertainment,0,manual_review,0.0,0.25,0,0.9257381000206806,1.8938259999849834,2.819564100005664,
12,D:\I5 internship\Prototype\data\test_audio\12.wav,whisper-small,ខ្ញុំចង់ request material ចំនួន សាមសិបដុល្លារ សម្រាប់ទិញ headset ឱ្យ support engineer ថ្មី,ខ្ញុំចង់ request material ចំនួន 30 dollars សម្រាប់ headset និង់ៗនេះ,Material Request Form,Material Request Form,1,,30,0,USD,dollars,1,ខ្ញុំចង់ request material ចំនួន សាមសិបដុល្លារ សម្រាប់ទិញ headset ឱ្យ support engineer ថ្មី,Requesting material for a headset costing 30 dollars.,0,manual_review,0.18181818181818182,0.5,0,3.9133938999730162,2.0004979000077583,5.9138917999807745,
12,D:\I5 internship\Prototype\data\test_audio\12.wav,whisper-medium,ខ្ញុំចង់ request material ចំនួន សាមសិបដុល្លារ សម្រាប់ទិញ headset ឱ្យ support engineer ថ្មី,ខ្ញុំចង់ request material ចំនួន 30 dollars សម្រាប់ headset ដែល support engineer ចំនេះៅោោោោោោ,Material Request Form,Material Request Form,1,,30,0,USD,dollars,1,ខ្ញុំចង់ request material ចំនួន សាមសិបដុល្លារ សម្រាប់ទិញ headset ឱ្យ support engineer ថ្មី,Support engineer,0,manual_review,0.18181818181818182,0.5,0,13.522074799984694,2.7571467999950983,16.279221599979792,
13,D:\I5 internship\Prototype\data\test_audio\13.wav,wav2vec2,ខ្ញុំសូម material request ចំនួន មួយរយដុល្លារ សម្រាប់ទិញ printer toner និង office supplies,ខ្ញុំសុម័ត tereial request ចំនួន 10 dollarn សម្រាប់ teng ppin tetoៅ និង a fess0 pligs,Material Request Form,Material Request Form,1,,10,0,USD,dollars,1,ខ្ញុំសូម material request ចំនួន មួយរយដុល្លារ សម្រាប់ទិញ printer toner និង office supplies,Employee requests 10 dollars for a printer and accessories.,0,manual_review,0.09090909090909091,0.5,0,0.9719099000212736,1.9358575000078417,2.9077674000291154,
13,D:\I5 internship\Prototype\data\test_audio\13.wav,whisper-small,ខ្ញុំសូម material request ចំនួន មួយរយដុល្លារ សម្រាប់ទិញ printer toner និង office supplies,ខ្ញុំសុំ និង request ចំនួន 100 dollars សម្រាប់ print toner និង office supplies,Material Request Form,Material Request Form,1,,100,0,USD,dollars,1,ខ្ញុំសូម material request ចំនួន មួយរយដុល្លារ សម្រាប់ទិញ printer toner និង office supplies,Request for print toner and office supplies,0,manual_review,0.36363636363636365,0.5,0,3.827027600025758,2.05318480002461,5.880212400050368,
13,D:\I5 internship\Prototype\data\test_audio\13.wav,whisper-medium,ខ្ញុំសូម material request ចំនួន មួយរយដុល្លារ សម្រាប់ទិញ printer toner និង office supplies,ខ្ញុំសុំ material request ចំនួន 100 dollars សម្រាប់ print or toner នៅប office supplies,Material Request Form,Material Request Form,1,,100,0,USD,dollars,1,ខ្ញុំសូម material request ចំនួន មួយរយដុល្លារ សម្រាប់ទិញ printer toner និង office supplies,print or toner,0,manual_review,0.09090909090909091,0.5,0,10.297108500031754,2.6119503999943845,12.909058900026139,
14,D:\I5 internship\Prototype\data\test_audio\14.wav,wav2vec2,ជួយ create material request ចំនួន ប្រាំរយដុល្លារ សម្រាប់ monitor និង docking station ឱ្យ cloud engineer,ជួយ kri axn me tiyvill request ចំនួន 500 dollars សម្រាប់ 10nesa និង dok់ ing ting in 0 klit king tinear o,Material Request Form,Cash Advance Form,0,,500,0,USD,dollars,1,ជួយ create material request ចំនួន ប្រាំរយដុល្លារ សម្រាប់ monitor និង docking station ឱ្យ cloud engineer,Request for a cash advance of 500 dollars for 10 days.,0,manual_review,0.07142857142857142,0.25,0,1.0242317999945953,1.7114892999525182,2.7357210999471135,
14,D:\I5 internship\Prototype\data\test_audio\14.wav,whisper-small,ជួយ create material request ចំនួន ប្រាំរយដុល្លារ សម្រាប់ monitor និង docking station ឱ្យ cloud engineer,ចង់ create material request ចំនួន 500 dollars សម្រាប់ monitor និង់ station និង់ ingenief,Material Request Form,Material Request Form,1,,500,0,USD,dollars,1,ជួយ create material request ចំនួន ប្រាំរយដុល្លារ សម្រាប់ monitor និង docking station ឱ្យ cloud engineer,Request to purchase materials including a monitor and station for 500 dollars.,0,manual_review,0.21428571428571427,0.5,0,3.6906896000145935,1.7852722000097856,5.475961800024379,
14,D:\I5 internship\Prototype\data\test_audio\14.wav,whisper-medium,ជួយ create material request ចំនួន ប្រាំរយដុល្លារ សម្រាប់ monitor និង docking station ឱ្យ cloud engineer,ខ្ញុំត្រូវការ material request ចំនួន 500 dollars សម្រាប់ monitor នៅប parking station ដែល club engineer,Material Request Form,Material Request Form,1,,500,0,USD,dollars,1,ជួយ create material request ចំនួន ប្រាំរយដុល្លារ សម្រាប់ monitor និង docking station ឱ្យ cloud engineer,Request for 500 dollars to purchase a monitor for the parking station of the club engineer.,0,manual_review,0.21428571428571427,0.5,0,11.990538500016555,2.5718844999792054,14.56242299999576,
