audio_id,reference_transcript,expected_form_type,predicted_form_type,form_type_correct,expected_amount,predicted_amount,amount_correct,expected_currency,predicted_currency,currency_correct,expected_description,predicted_description,description_correct,description_match_method,description_overlap,field_accuracy,joint_accuracy,latency_seconds,error
11,ខ្ញុំចង់ request project expense ចំនួន មួយម៉ឺនដុល្លារ សម្រាប់ទិញ enterprise server និង firewall ឱ្យ customer data center,Project Expense Form,Project Expense Form,1,,10000,0,USD,USD,1,ខ្ញុំចង់ request project expense ចំនួន មួយម៉ឺនដុល្លារ សម្រាប់ទិញ enterprise server និង firewall ឱ្យ customer data center,Purchase enterprise server and firewall for customer data center,0,manual_review,0.4,0.5,0,2.080527300015092,
12,ខ្ញុំចង់ request material ចំនួន សាមសិបដុល្លារ សម្រាប់ទិញ headset ឱ្យ support engineer ថ្មី,Material Request Form,Material Request Form,1,,50,0,USD,USD,1,ខ្ញុំចង់ request material ចំនួន សាមសិបដុល្លារ សម្រាប់ទិញ headset ឱ្យ support engineer ថ្មី,To buy a headset for a new support engineer.,0,manual_review,0.18181818181818182,0.5,0,6.250329600006808,
13,ខ្ញុំសូម material request ចំនួន មួយរយដុល្លារ សម្រាប់ទិញ printer toner និង office supplies,Material Request Form,Material Request Form,1,,100,0,USD,dollars,1,ខ្ញុំសូម material request ចំនួន មួយរយដុល្លារ សម្រាប់ទិញ printer toner និង office supplies,Purchase printer toner and office supplies,0,manual_review,0.36363636363636365,0.5,0,2.009662500000559,
14,ជួយ create material request ចំនួន ប្រាំរយដុល្លារ សម្រាប់ monitor និង docking station ឱ្យ cloud engineer,Material Request Form,Material Request Form,1,,500,0,USD,USD,1,ជួយ create material request ចំនួន ប្រាំរយដុល្លារ សម្រាប់ monitor និង docking station ឱ្យ cloud engineer,Request to purchase a monitor and docking station for a cloud engineer with a budget of $500.,0,manual_review,0.42857142857142855,0.5,0,2.642857200000435,
15,ខ្ញុំចង់ request hardware ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ firewall lab device ឱ្យ security team,Material Request Form,Material Request Form,1,,2000,0,USD,USD,1,ខ្ញុំចង់ request hardware ចំនួន ពីរពាន់ដុល្លារ សម្រាប់ទិញ firewall lab device ឱ្យ security team,Purchase firewall lab device for security team,0,manual_review,0.4166666666666667,0.5,0,1.9592218999750912,
16,ខ្ញុំសូម material request ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ទិញ spare server parts ទុកក្នុង internal testing lab,Material Request Form,Material Request Form,1,,5000,0,USD,USD,1,ខ្ញុំសូម material request ចំនួន ប្រាំពាន់ដុល្លារ សម្រាប់ទិញ spare server parts ទុកក្នុង internal testing lab,To buy spare server parts for internal testing lab.,0,manual_review,0.38461538461538464,0.5,0,2.165080900012981,
17,ខ្ញុំចង់ request training ចំនួន ពីររយដុល្លារ សម្រាប់ប្រឡង AWS certification,Training Request Form,Training Request Form,1,,200,0,USD,USD,1,ខ្ញុំចង់ request training ចំនួន ពីររយដុល្លារ សម្រាប់ប្រឡង AWS certification,AWS certification exam,0,manual_review,0.25,0.5,0,1.9518587000202388,
18,ខ្ញុំសូម submit training request ចំនួន ប្រាំរយដុល្លារ សម្រាប់រៀន Azure administrator course,Training Request Form,Training,0,,500,0,USD,USD,1,ខ្ញុំសូម submit training request ចំនួន ប្រាំរយដុល្លារ សម្រាប់រៀន Azure administrator course,Learn Azure Administrator course,0,manual_review,0.3,0.25,0,1.9904840999515727,
19,ខ្ញុំចង់ request training event ចំនួន មួយពាន់ដុល្លារ សម្រាប់រៀបចំ customer cloud migration workshop,Training Request Form,Training Request Form,1,,1000,0,USD,USD,1,ខ្ញុំចង់ request training event ចំនួន មួយពាន់ដុល្លារ សម្រាប់រៀបចំ customer cloud migration workshop,Organize a customer cloud migration workshop,0,manual_review,0.36363636363636365,0.5,0,2.137386799964588,
20,ជួយ process training request ចំនួន បីពាន់ដុល្លារ សម្រាប់ cybersecurity training ឱ្យ security engineer team,Training Request Form,Training,0,,3000,0,USD,USD,1,ជួយ process training request ចំនួន បីពាន់ដុល្លារ សម្រាប់ cybersecurity training ឱ្យ security engineer team,Cybersecurity training for the security engineer team,0,manual_review,0.4166666666666667,0.25,0,1.8477196999592707,
